Epochs,Training Loss,Validation Loss
0,0.9864856279333224,0.9762835830955182
1,0.9360391382147505,0.9028871872667539
2,0.8961597152093318,0.9036437217461861
3,0.8650026224670609,0.9016726916119203
4,0.8416075165047071,0.8987556963653888
FINAL,,
